"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0oerlffJSzhRVvtDfLcp3N","Wanted Dead Or Alive","spotify:artist:58lV9VcRSjABbAbfWS6skp","Bon Jovi","spotify:album:0kBfgEilUFCMIQY5IOjG4t","Slippery When Wet","spotify:artist:58lV9VcRSjABbAbfWS6skp","Bon Jovi","1986-08-16","https://i.scdn.co/image/ab67616d0000b2731336b31b6a1799f0de5807ac","1","5","308666","https://p.scdn.co/mp3-preview/c98b4b7b05c49c05ee49567225d4b6f957843203?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:1217963894","2022-03-28T19:34:50Z"
"spotify:track:0rFWuqFgHAfuzE8uSB9TWR","Live And Let Die","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:0CxPbTRARqKUYighiEY9Sz","Use Your Illusion I","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","1991-09-17","https://i.scdn.co/image/ab67616d0000b273e44963b8bb127552ac761873","1","3","182733","https://p.scdn.co/mp3-preview/937853452a794c9146f077ceddefa4f8c33eaa89?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:1217963894","2022-03-28T19:35:14Z"
"spotify:track:1L94M3KIu7QluZe63g64rv","Alive","spotify:artist:1w5Kfo2jwwIPruYS2UWh56","Pearl Jam","spotify:album:5B4PYA7wNN4WdEXdIJu58a","Ten","spotify:artist:1w5Kfo2jwwIPruYS2UWh56","Pearl Jam","1991-08-27","https://i.scdn.co/image/ab67616d0000b273d400d27cba05bb0545533864","1","3","340907","https://p.scdn.co/mp3-preview/b9e0081e6aed4ed0ded2d79b7e778f4e2e4d1287?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:1217963894","2022-03-28T19:35:33Z"
"spotify:track:7EZC6E7UjZe63f1jRmkWxt","Zombie","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","spotify:album:1Bwo9JkbVwxGyvtQNMRK21","No Need To Argue (The Complete Sessions 1994-1995)","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","1994-10-03","https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796","1","4","306440","https://p.scdn.co/mp3-preview/c182304d08b8f4bc70dc80cea76692b0ba5fe47d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:1217963894","2022-03-28T19:35:53Z"
"spotify:track:10V8XpuyMoEcSMfM79WDET","Living Dead Girl","spotify:artist:3HVdAiMNjYrQIKlOGxoGh5","Rob Zombie","spotify:album:2B4lHoTCpWbxQPTZmCOjnH","Hellbilly Deluxe","spotify:artist:3HVdAiMNjYrQIKlOGxoGh5","Rob Zombie","1998-01-01","https://i.scdn.co/image/ab67616d0000b27313d4adf9e4b938f88266f4e4","1","4","201400","https://p.scdn.co/mp3-preview/500cd938f368ecf9dfcf719f4ccd1812ba851855?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:1217963894","2022-03-28T19:49:52Z"
"spotify:track:1BECwm5qkaBwlbfo4kpYx8","Death of a Bachelor","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","spotify:album:6twKQ0EsUJHVlAr6XBylrj","Death of a Bachelor","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","2016-01-15","https://i.scdn.co/image/ab67616d0000b27323152d9337d6c57b116ed13a","1","5","203506","https://p.scdn.co/mp3-preview/b1c0b3b60dabbabfd3056aa470ff47ffc0fdb4bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:1217963894","2022-03-28T19:50:05Z"
"spotify:track:7B1QliUMZv7gSTUGAfMRRD","Live Like You Were Dying","spotify:artist:6roFdX1y5BYSbp60OTJWMd","Tim McGraw","spotify:album:0os1Gz3XMM6dduZSMxVuXs","Live Like You Were Dying","spotify:artist:6roFdX1y5BYSbp60OTJWMd","Tim McGraw","2004-08-17","https://i.scdn.co/image/ab67616d0000b273e6b859b16a880b851822871d","1","5","300333","https://p.scdn.co/mp3-preview/cb9c806a256ce3bb4f827b355a2ba87cb3ca0434?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:1217963894","2022-03-28T19:50:53Z"
"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","Every Breath You Take","spotify:artist:5NGO30tJxFlKixkPSgXcFE","The Police","spotify:album:5W9OT0a5iZlBr83a9WMKFY","Synchronicity (Remastered 2003)","spotify:artist:5NGO30tJxFlKixkPSgXcFE","The Police","1983-06-17","https://i.scdn.co/image/ab67616d0000b273c8e97cafeb2acb85b21a777e","1","7","253920","https://p.scdn.co/mp3-preview/4d8861bdc6a87ce2a5578ecb2fc1b65c5d8cb4f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","spotify:user:1217963894","2022-03-28T19:54:10Z"
"spotify:track:3kfXUGIdBNpyr2gBvU3Guj","Angel","spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","Aerosmith","spotify:album:3XYqOJI1YlX40kJTdzFEzp","Permanent Vacation","spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","Aerosmith","1987-01-01","https://i.scdn.co/image/ab67616d0000b273a8a965df6a845b265ee19106","1","9","308906","https://p.scdn.co/mp3-preview/52e072957e90932a32a455d8a003218fbb4ceb9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:1217963894","2022-03-28T19:56:00Z"
"spotify:track:6NVB6W7G3svCKe5zB7kY8q","Angel Of The Morning","spotify:artist:4L1z1IcfK7lbqx8izGHaw5","Juice Newton","spotify:album:0fSvQOkU8rRgcsW6MerdVw","Juice Newton's Greatest Hits","spotify:artist:4L1z1IcfK7lbqx8izGHaw5","Juice Newton","1988-10-19","https://i.scdn.co/image/ab67616d0000b27399a6a7a4b4fe71d5362d16b7","1","1","254000","https://p.scdn.co/mp3-preview/7d244ca76413cf5201165e66175a2384c58a712c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:1217963894","2022-03-28T19:56:08Z"
